GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 880,572, Dev: 1,166
Initialized from: models/97_tuning/bs64_lr1em03_adamw/best_model.pt
Epoch 02 | 07700/13759 | loss 3.6308 | ppl 37.74 | lr 4.579326e-06 | 253.6s
Epoch 02 | 07800/13759 | loss 3.6307 | ppl 37.74 | lr 4.568693e-06 | 257.1s
Epoch 02 | 07900/13759 | loss 3.6307 | ppl 37.74 | lr 4.558134e-06 | 260.6s
Epoch 02 | 08000/13759 | loss 3.6308 | ppl 37.74 | lr 4.547647e-06 | 264.0s
Epoch 02 | 08100/13759 | loss 3.6306 | ppl 37.74 | lr 4.537233e-06 | 267.5s
Epoch 02 | 08200/13759 | loss 3.6305 | ppl 37.73 | lr 4.52689e-06 | 270.9s
Epoch 02 | 08300/13759 | loss 3.6306 | ppl 37.73 | lr 4.516618e-06 | 274.3s
Epoch 02 | 08400/13759 | loss 3.6303 | ppl 37.73 | lr 4.506415e-06 | 277.8s
Epoch 02 | 08500/13759 | loss 3.6303 | ppl 37.72 | lr 4.496281e-06 | 281.3s
Epoch 02 | 08600/13759 | loss 3.6302 | ppl 37.72 | lr 4.486215e-06 | 284.7s
Epoch 02 | 08700/13759 | loss 3.6302 | ppl 37.72 | lr 4.476216e-06 | 288.2s
Epoch 02 | 08800/13759 | loss 3.6305 | ppl 37.73 | lr 4.466284e-06 | 291.6s
Epoch 02 | 08900/13759 | loss 3.6307 | ppl 37.74 | lr 4.456418e-06 | 295.1s
Epoch 02 | 09000/13759 | loss 3.6308 | ppl 37.74 | lr 4.446616e-06 | 298.6s
Epoch 02 | 09100/13759 | loss 3.6306 | ppl 37.74 | lr 4.43688e-06 | 302.0s
Epoch 02 | 09200/13759 | loss 3.6306 | ppl 37.74 | lr 4.427206e-06 | 305.6s
Epoch 02 | 09300/13759 | loss 3.6305 | ppl 37.73 | lr 4.417596e-06 | 309.1s
Epoch 02 | 09400/13759 | loss 3.6304 | ppl 37.73 | lr 4.408048e-06 | 312.6s
Epoch 02 | 09500/13759 | loss 3.6305 | ppl 37.73 | lr 4.398562e-06 | 316.0s
Epoch 02 | 09600/13759 | loss 3.6305 | ppl 37.73 | lr 4.389137e-06 | 319.4s
Epoch 02 | 09700/13759 | loss 3.6304 | ppl 37.73 | lr 4.379772e-06 | 322.9s
Epoch 02 | 09800/13759 | loss 3.6303 | ppl 37.73 | lr 4.370467e-06 | 326.4s
Epoch 02 | 09900/13759 | loss 3.6304 | ppl 37.73 | lr 4.361221e-06 | 329.8s
Epoch 02 | 10000/13759 | loss 3.6304 | ppl 37.73 | lr 4.352033e-06 | 333.4s
Epoch 02 | 10100/13759 | loss 3.6306 | ppl 37.74 | lr 4.342903e-06 | 336.9s
Epoch 02 | 10200/13759 | loss 3.6307 | ppl 37.74 | lr 4.33383e-06 | 340.3s
Epoch 02 | 10300/13759 | loss 3.6307 | ppl 37.74 | lr 4.324814e-06 | 343.8s
Epoch 02 | 10400/13759 | loss 3.6304 | ppl 37.73 | lr 4.315854e-06 | 347.2s
Epoch 02 | 10500/13759 | loss 3.6305 | ppl 37.73 | lr 4.30695e-06 | 350.7s
Epoch 02 | 10600/13759 | loss 3.6306 | ppl 37.73 | lr 4.2981e-06 | 354.2s
Epoch 02 | 10700/13759 | loss 3.6307 | ppl 37.74 | lr 4.289305e-06 | 357.7s
Epoch 02 | 10800/13759 | loss 3.6308 | ppl 37.74 | lr 4.280563e-06 | 361.1s
Epoch 02 | 10900/13759 | loss 3.6307 | ppl 37.74 | lr 4.271875e-06 | 364.5s
Epoch 02 | 11000/13759 | loss 3.6309 | ppl 37.75 | lr 4.263239e-06 | 368.1s
Epoch 02 | 11100/13759 | loss 3.6308 | ppl 37.74 | lr 4.254656e-06 | 371.5s
Epoch 02 | 11200/13759 | loss 3.6308 | ppl 37.74 | lr 4.246124e-06 | 375.0s
Epoch 02 | 11300/13759 | loss 3.6307 | ppl 37.74 | lr 4.237643e-06 | 378.5s
Epoch 02 | 11400/13759 | loss 3.6306 | ppl 37.74 | lr 4.229213e-06 | 382.0s
Epoch 02 | 11500/13759 | loss 3.6306 | ppl 37.73 | lr 4.220833e-06 | 385.5s
Epoch 02 | 11600/13759 | loss 3.6306 | ppl 37.74 | lr 4.212503e-06 | 388.9s
Epoch 02 | 11700/13759 | loss 3.6306 | ppl 37.73 | lr 4.204221e-06 | 392.3s
Epoch 02 | 11800/13759 | loss 3.6305 | ppl 37.73 | lr 4.195989e-06 | 395.8s
Epoch 02 | 11900/13759 | loss 3.6304 | ppl 37.73 | lr 4.187804e-06 | 399.3s
Epoch 02 | 12000/13759 | loss 3.6304 | ppl 37.73 | lr 4.179668e-06 | 402.8s
