
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 02 | 06200/06880 | loss 4.6062 | ppl 100.10 | lr 0.0001659004 | 211.1s
Epoch 02 | 06300/06880 | loss 4.6027 | ppl 99.75 | lr 0.0001652698 | 214.5s
Epoch 02 | 06400/06880 | loss 4.5993 | ppl 99.41 | lr 0.0001646464 | 217.8s
Epoch 02 | 06500/06880 | loss 4.5960 | ppl 99.08 | lr 0.00016403 | 221.0s
Epoch 02 | 06600/06880 | loss 4.5925 | ppl 98.74 | lr 0.0001634204 | 224.3s
Epoch 02 | 06700/06880 | loss 4.5891 | ppl 98.41 | lr 0.0001628176 | 227.6s
Epoch 02 | 06800/06880 | loss 4.5858 | ppl 98.08 | lr 0.0001622214 | 230.8s
Epoch 02 complete | train loss 4.5832 | dev loss 4.3483 | train BLEU 10.77 | dev BLEU 7.80 | 241.5s
Epoch 03 | 00100/06880 | loss 4.2971 | ppl 73.49 | lr 0.0001611646 | 3.3s
Epoch 03 | 00200/06880 | loss 4.2909 | ppl 73.03 | lr 0.0001605863 | 6.5s
Epoch 03 | 00300/06880 | loss 4.2837 | ppl 72.51 | lr 0.0001600142 | 9.9s
Epoch 03 | 00400/06880 | loss 4.2834 | ppl 72.48 | lr 0.0001594482 | 13.1s
Epoch 03 | 00500/06880 | loss 4.2791 | ppl 72.18 | lr 0.0001588881 | 16.4s
Epoch 03 | 00600/06880 | loss 4.2811 | ppl 72.32 | lr 0.0001583339 | 19.5s
Epoch 03 | 00700/06880 | loss 4.2793 | ppl 72.19 | lr 0.0001577855 | 22.8s
Epoch 03 | 00800/06880 | loss 4.2780 | ppl 72.10 | lr 0.0001572427 | 26.1s
Epoch 03 | 00900/06880 | loss 4.2758 | ppl 71.94 | lr 0.0001567055 | 29.4s
Epoch 03 | 01000/06880 | loss 4.2736 | ppl 71.78 | lr 0.0001561738 | 32.6s
Epoch 03 | 01100/06880 | loss 4.2726 | ppl 71.70 | lr 0.0001556474 | 36.0s
Epoch 03 | 01200/06880 | loss 4.2707 | ppl 71.57 | lr 0.0001551263 | 39.3s
Epoch 03 | 01300/06880 | loss 4.2691 | ppl 71.46 | lr 0.0001546104 | 42.6s
Epoch 03 | 01400/06880 | loss 4.2667 | ppl 71.29 | lr 0.0001540996 | 46.0s
Epoch 03 | 01500/06880 | loss 4.2651 | ppl 71.17 | lr 0.0001535939 | 49.5s
Epoch 03 | 01600/06880 | loss 4.2637 | ppl 71.07 | lr 0.0001530931 | 53.1s
Epoch 03 | 01700/06880 | loss 4.2624 | ppl 70.98 | lr 0.0001525972 | 56.4s
Epoch 03 | 01800/06880 | loss 4.2609 | ppl 70.87 | lr 0.000152106 | 59.9s
Epoch 03 | 01900/06880 | loss 4.2589 | ppl 70.73 | lr 0.0001516196 | 63.2s
Epoch 03 | 02000/06880 | loss 4.2572 | ppl 70.61 | lr 0.0001511378 | 66.5s
Epoch 03 | 02100/06880 | loss 4.2560 | ppl 70.53 | lr 0.0001506606 | 69.9s
Epoch 03 | 02200/06880 | loss 4.2541 | ppl 70.39 | lr 0.0001501879 | 73.5s
Epoch 03 | 02300/06880 | loss 4.2526 | ppl 70.29 | lr 0.0001497195 | 77.0s
Epoch 03 | 02400/06880 | loss 4.2514 | ppl 70.21 | lr 0.0001492556 | 80.5s
Epoch 03 | 02500/06880 | loss 4.2502 | ppl 70.12 | lr 0.0001487959 | 83.9s
Epoch 03 | 02600/06880 | loss 4.2484 | ppl 69.99 | lr 0.0001483405 | 87.4s
Epoch 03 | 02700/06880 | loss 4.2465 | ppl 69.86 | lr 0.0001478892 | 90.8s
Epoch 03 | 02800/06880 | loss 4.2453 | ppl 69.77 | lr 0.000147442 | 94.1s
Epoch 03 | 02900/06880 | loss 4.2432 | ppl 69.63 | lr 0.0001469988 | 97.4s
Epoch 03 | 03000/06880 | loss 4.2409 | ppl 69.47 | lr 0.0001465596 | 100.6s
Epoch 03 | 03100/06880 | loss 4.2393 | ppl 69.36 | lr 0.0001461243 | 103.9s
Epoch 03 | 03200/06880 | loss 4.2376 | ppl 69.24 | lr 0.0001456929 | 107.2s
Epoch 03 | 03300/06880 | loss 4.2357 | ppl 69.11 | lr 0.0001452653 | 110.6s
Epoch 03 | 03400/06880 | loss 4.2343 | ppl 69.02 | lr 0.0001448414 | 113.9s
Epoch 03 | 03500/06880 | loss 4.2324 | ppl 68.89 | lr 0.0001444212 | 117.4s
Epoch 03 | 03600/06880 | loss 4.2310 | ppl 68.79 | lr 0.0001440046 | 120.9s
Epoch 03 | 03700/06880 | loss 4.2290 | ppl 68.65 | lr 0.0001435916 | 124.4s
Epoch 03 | 03800/06880 | loss 4.2275 | ppl 68.54 | lr 0.0001431822 | 127.9s
Epoch 03 | 03900/06880 | loss 4.2255 | ppl 68.41 | lr 0.0001427762 | 131.4s
Epoch 03 | 04000/06880 | loss 4.2244 | ppl 68.33 | lr 0.0001423737 | 134.7s
Epoch 03 | 04100/06880 | loss 4.2225 | ppl 68.20 | lr 0.0001419746 | 137.9s
Epoch 03 | 04200/06880 | loss 4.2210 | ppl 68.10 | lr 0.0001415788 | 141.3s
Epoch 03 | 04300/06880 | loss 4.2197 | ppl 68.01 | lr 0.0001411862 | 145.0s
Epoch 03 | 04400/06880 | loss 4.2183 | ppl 67.92 | lr 0.000140797 | 148.3s
Epoch 03 | 04500/06880 | loss 4.2166 | ppl 67.80 | lr 0.0001404109 | 151.7s
Epoch 03 | 04600/06880 | loss 4.2149 | ppl 67.69 | lr 0.000140028 | 155.0s
Epoch 03 | 04700/06880 | loss 4.2130 | ppl 67.56 | lr 0.0001396482 | 158.4s
Epoch 03 | 04800/06880 | loss 4.2115 | ppl 67.46 | lr 0.0001392715 | 161.7s
Epoch 03 | 04900/06880 | loss 4.2102 | ppl 67.37 | lr 0.0001388978 | 165.0s
Epoch 03 | 05000/06880 | loss 4.2084 | ppl 67.25 | lr 0.0001385271 | 168.3s
Epoch 03 | 05100/06880 | loss 4.2063 | ppl 67.11 | lr 0.0001381594 | 171.5s
Epoch 03 | 05200/06880 | loss 4.2045 | ppl 66.99 | lr 0.0001377946 | 175.0s
Epoch 03 | 05300/06880 | loss 4.2030 | ppl 66.89 | lr 0.0001374326 | 178.5s
Epoch 03 | 05400/06880 | loss 4.2013 | ppl 66.77 | lr 0.0001370735 | 182.1s
Epoch 03 | 05500/06880 | loss 4.1996 | ppl 66.66 | lr 0.0001367172 | 185.6s
